Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1727311366,2,,Aggregated,0.375000,0.125000,5000,5000,10000,10000,10000,10000,10000,10000,10000,10000,10000,4,1,5000.0,5003.146750250039,3.5274730000764976,10002.188405000197,172.5
1727311367,2,,Aggregated,0.375000,0.125000,5000,5000,10000,10000,10000,10000,10000,10000,10000,10000,10000,4,1,5000.0,5003.146750250039,3.5274730000764976,10002.188405000197,172.5
1727311368,2,,Aggregated,0.375000,0.125000,5000,5000,10000,10000,10000,10000,10000,10000,10000,10000,10000,4,1,5000.0,5003.146750250039,3.5274730000764976,10002.188405000197,172.5
1727311369,2,,Aggregated,0.300000,0.100000,1,4,5000,5000,10000,13000,13000,13000,13000,13000,13000,13,10,1,2539.8959704615354,0.4214919999867561,13001.780392,53.07692307692308
1727311370,2,,Aggregated,0.300000,0.100000,0,1,1,1,5000,11000,13000,13000,13000,13000,13000,31,28,0.41793000013967685,1427.3739960645037,0.41793000013967685,13001.780392,22.258064516129032
1727311371,2,,Aggregated,0.300000,0.100000,0,1,1,1,5000,11000,13000,13000,13000,13000,13000,31,28,0.41793000013967685,1427.3739960645037,0.41793000013967685,13001.780392,22.258064516129032
1727311372,2,,Aggregated,0.300000,0.100000,0,1,1,1,5000,11000,13000,13000,13000,13000,13000,31,28,0.41793000013967685,1427.3739960645037,0.41793000013967685,13001.780392,22.258064516129032
1727311373,2,,Aggregated,0.300000,0.100000,0,1,1,1,5000,11000,13000,13000,13000,13000,13000,31,28,0.41793000013967685,1427.3739960645037,0.41793000013967685,13001.780392,22.258064516129032
1727311374,2,,Aggregated,2.800000,2.700000,0,1,1,1,5000,11000,13000,13000,13000,13000,13000,40,37,0.41793000013967685,1106.3398698749895,0.41793000013967685,13001.780392,17.25
1727311375,2,,Aggregated,2.800000,2.700000,0,1,1,1,5000,10000,13000,13000,13000,13000,13000,49,46,0.41793000013967685,903.2323098571287,0.41793000013967685,13001.780392,14.081632653061224
1727311376,2,,Aggregated,2.800000,2.700000,0,1,1,1,5000,10000,13000,13000,13000,13000,13000,49,46,0.41793000013967685,903.2323098571287,0.41793000013967685,13001.780392,14.081632653061224
1727311377,2,,Aggregated,3.600000,3.600000,0,1,1,1,4,10000,11000,13000,13000,13000,13000,58,55,0.41555500001777546,763.1598909999867,0.41555500001777546,13001.780392,11.89655172413793
1727311378,2,,Aggregated,3.600000,3.600000,0,1,1,1,4,10000,11000,13000,13000,13000,13000,58,55,0.41555500001777546,763.1598909999867,0.41555500001777546,13001.780392,11.89655172413793
1727311379,2,,Aggregated,4.500000,4.500000,0,1,1,1,1,5000,11000,13000,13000,13000,13000,76,73,0.40724400014369166,582.5443798289239,0.40724400014369166,13001.780392,9.078947368421053
1727311380,2,,Aggregated,5.400000,5.400000,0,1,1,1,1,5000,11000,13000,13000,13000,13000,94,91,0.40724400014369166,471.0990992553076,0.40724400014369166,13001.780392,7.340425531914893
1727311381,2,,Aggregated,5.400000,5.400000,0,1,1,1,1,5000,11000,13000,13000,13000,13000,94,91,0.40724400014369166,471.0990992553076,0.40724400014369166,13001.780392,7.340425531914893
1727311382,2,,Aggregated,5.400000,5.400000,0,1,1,1,1,5000,11000,13000,13000,13000,13000,94,91,0.40724400014369166,471.0990992553076,0.40724400014369166,13001.780392,7.340425531914893
1727311383,2,,Aggregated,5.400000,5.400000,0,1,1,1,1,4,10000,11000,13000,13000,13000,112,109,0.37874899999224,395.4667808839158,0.37874899999224,13001.780392,6.160714285714286
